"Josh Smith, Atl PF, SF",SANC,0.482,0.712,39,542,202,88,107,158,1094
"Dorell Wright, GS SF",SANC,0.429,0.797,119,292,154,77,44,83,851
"Luol Deng, Chi SF",Sklz,0.463,0.77,87,313,168,58,35,110,1007
"Jameer Nelson, Orl PG",NGUY,0.451,0.822,81,163,321,51,0,122,679
"Andray Blatche, Wsh PF",NGUY,0.467,0.752,6,496,136,77,59,165,1022
"Andrew Bogut, Mil C",SCHA,0.522,0.528,0,562,108,32,135,103,782
"Andrew Bynum, LAL C",ROME,0.569,0.692,0,446,63,23,90,77,639
"Monta Ellis, GS PG, SG",SCHA,0.449,0.781,83,198,297,116,17,176,1309
"Raymond Felton, Por PG",QNGUY,0.431,0.796,76,223,459,99,12,167,902
"Channing Frye, Pho PF, C",PPL,0.435,0.824,125,366,73,37,55,55,721
"Marcin Gortat, Pho C",QNGUY,0.557,0.716,2,655,63,38,101,82,779
"Danny Granger, Ind SF",HBP,0.439,0.854,107,296,131,68,40,143,1188
"David Lee, GS PF, C",Sklz,0.524,0.789,2,647,195,61,24,140,1061
"Chris Paul, LAC PG",SANC,0.477,0.87,53,251,576,137,6,137,991
"Deron Williams, NJ PG",Sklz,0.463,0.833,110,246,654,72,12,210,1306
"Jose Calderon, Tor PG",NGUY,0.475,0.867,50,154,429,61,6,105,550
"LaMarcus Aldridge, Por PF, C  DTD",SCHA,0.496,0.78,4,538,134,64,77,109,1303
"Andrea Bargnani, Tor C, PF",SANC,0.453,0.825,84,336,102,30,48,138,1327
"Rudy Gay, Mem SF",QNGUY,0.466,0.779,55,336,129,84,50,134,1096
"Kyle Lowry, Hou PG",SANC,0.421,0.785,89,270,414,84,18,138,838
"Paul Millsap, Uta PF  DTD",QNGUY,0.532,0.736,4,473,132,76,63,107,952
"Rajon Rondo, Bos PG",ROME,0.498,0.611,11,294,666,147,6,198,814
"Mike Conley, Mem PG",SCHA,0.444,0.746,69,202,403,104,13,143,874
"Kevin Durant, OKC SF",ROME,0.468,0.882,109,441,176,76,63,189,1772
"Al Horford, Atl C, PF",HHS,0.56,0.798,0,640,244,53,73,106,1052
"Joakim Noah, Chi C, PF",HHS,0.542,0.746,0,621,116,52,99,116,834
"Nick Young, Wsh SG",HBP,0.444,0.819,103,165,71,41,12,89,1012
"Marc Gasol, Mem C  DTD",NGUY,0.539,0.722,3,498,158,63,101,126,821
"D.J. Augustin, Cha PG  DTD",PPL,0.422,0.899,85,165,337,40,0,119,855
"Nicolas Batum, Por SF",SCHA,0.462,0.845,89,273,93,52,41,58,712
"Michael Beasley, Min SF, PF",HHS,0.453,0.764,38,348,108,48,42,132,1041
"Danilo Gallinari, Den SF, PF",GPC,0.418,0.854,109,280,95,50,28,78,877
"Eric Gordon, Nor SG",GPC,0.451,0.813,116,189,248,77,24,153,1239
"Roy Hibbert, Ind C",HBP,0.489,0.752,2,480,134,32,134,147,886
"Serge Ibaka, OKC C, PF",HBP,0.542,0.721,0,557,19,32,166,70,701
"DeAndre Jordan, LAC C",SANC,0.664,0.429,0,549,35,35,112,100,537
"Brook Lopez, NJ C",PPL,0.501,0.797,0,482,112,40,106,145,1419
"Kevin Love, Min PF",HBP,0.465,0.835,66,872,148,40,29,131,1148
"JaVale McGee, Wsh C",NGUY,0.573,0.625,0,601,40,33,178,99,722
"Derrick Rose, Chi PG",PPL,0.458,0.89,94,260,546,72,33,228,1689
"Russell Westbrook, OKC PG",QNGUY,0.431,0.825,26,338,546,117,26,260,1388
"Darren Collison, Ind PG",SCHA,0.463,0.86,32,176,328,76,6,158,769
"Stephen Curry, GS PG, SG",NGUY,0.473,0.915,126,250,360,98,18,189,1118
"DeMar DeRozan, Tor SG",GPC,0.472,0.821,15,271,132,79,20,125,1264
"Tyreke Evans, Sac PG, SG",NGUY,0.429,0.758,48,307,348,93,29,191,1155
"Blake Griffin, LAC PF",Sklz,0.506,0.641,6,794,250,70,64,179,1477
"James Harden, OKC SG",SCHA,0.424,0.834,103,243,160,83,26,102,892
"Jrue Holiday, Phi PG",GPC,0.451,0.82,80,284,475,106,26,185,1028
"Brandon Jennings, Mil PG",HHS,0.414,0.811,109,247,338,117,20,143,1149
"Ty Lawson, Den PG",HBP,0.505,0.762,61,192,420,84,6,126,851
"Marcus Thornton, Sac SG",HBP,0.441,0.794,102,254,136,65,12,89,1016
"Wesley Matthews, Por SG, SF",HBP,0.458,0.844,104,198,125,73,7,106,945
"John Wall, Wsh PG",HHS,0.428,0.776,40,315,580,126,38,233,1178
"DeMarcus Cousins, Sac PF, C  DTD",PPL,0.43,0.687,3,637,189,78,65,247,1046
"Greg Monroe, Det PF, C",PPL,0.581,0.724,0,673,152,79,66,86,1072
"Kyrie Irving, Cle PG",GPC,0.437,0.909,77,204,348,96,12,156,980
"Derrick Williams, Min PF",Sklz,0.485,0.753,61,342,48,66,36,108,847
"Caron Butler, LAC SF",GPC,0.441,0.825,36,243,108,59,14,99,756
"Ed Davis, Tor PF, C",ROME,0.579,0.559,0,516,42,42,72,66,702
"Boris Diaw, Cha PF, SF",SCHA,0.491,0.696,55,337,224,46,46,132,735
"Kemba Walker, Cha PG",Sklz,0.403,0.772,79,258,309,113,13,145,971
"Kris Humphries, FA PF",PPL,0.525,0.671,0,557,64,27,58,80,572
"Anderson Varejao, Cle PF, C  DTD",HHS,0.532,0.662,0,604,85,55,67,73,629
"Corey Maggette, Cha SF  DTD",GPC,0.455,0.833,36,297,121,33,6,138,1049
"Jordan Crawford, Wsh SG",QNGUY,0.403,0.79,58,143,211,74,6,124,681
"Shawn Marion, Dal SF, PF  DTD",HBP,0.513,0.768,4,391,81,50,37,87,694
"Andre Miller, Den PG",QNGUY,0.458,0.839,6,192,254,68,6,124,705
"John Salmons, Sac SF, SG  DTD",PPL,0.431,0.821,71,195,171,55,18,98,815
"Ricky Rubio, Min PG  DTD",SANC,0.424,0.803,32,192,378,68,12,192,775
"Trevor Ariza, Nor SF, SG",ROME,0.403,0.685,73,318,150,102,24,102,696
"Tyrus Thomas, Cha PF  DTD",WA (Wed),0.464,0.732,0,442,65,72,117,124,772
"Jamal Crawford, Por SG, PG",NGUY,0.428,0.86,82,108,173,38,11,97,822
"Rodney Stuckey, Det PG, SG",SANC,0.432,0.85,23,228,264,66,6,120,963
"J.J. Hickson, Sac PF, C",Sklz,0.479,0.675,0,529,63,38,44,132,849
"George Hill, Ind PG, SG",WA (Wed),0.46,0.839,71,174,174,56,19,93,782
"Toney Douglas, NY PG, SG",SCHA,0.428,0.804,131,222,282,84,6,84,819
"Lou Williams, Phi PG, SG",WA (Wed),0.418,0.815,64,145,214,44,13,88,802
"Ben Gordon, Det SG",WA (Wed),0.449,0.857,108,178,172,53,13,125,1076
"Jarrett Jack, Nor PG, SG",HHS,0.435,0.85,53,202,302,63,6,132,849
"Richard Hamilton, Chi SG",Sklz,0.428,0.844,59,156,228,42,6,120,919
"Brandon Knight, Det PG, SG",WA (Wed),0.399,0.782,87,164,321,76,6,151,767
"Andrei Kirilenko, FA SF, PF",WA (Wed),0.473,0.768,20,196,116,52,48,68,467
"Mo Williams, LAC PG",WA (Wed),0.423,0.875,61,99,177,31,5,94,526
"Baron Davis*, NY PG  O",WA (Wed),0.416,0.757,39,93,189,42,13,86,401
"Tony Allen, Mem SG",WA (Wed),0.507,0.721,3,187,99,109,36,88,575
"Carl Landry, Nor PF",WA (Wed),0.52,0.768,0,305,49,37,31,85,782
"Jeff Teague, Atl PG",WA (Wed),0.432,0.802,42,162,240,72,18,120,654
"Carlos Delfino, Mil SF, SG",WA (Wed),0.398,0.8,106,270,144,78,12,78,646
"Samuel Dalembert, FA C",HBP,0.492,0.73,0,559,46,33,104,104,503
"Thaddeus Young, Phi SF",WA (Wed),0.54,0.706,10,335,68,68,19,87,847
"Jimmer Fredette, Sac SG",GPC,0.436,0.885,87,142,195,30,6,112,644
"Landry Fields, NY SG",HHS,0.496,0.768,75,409,119,66,13,86,639
"Gerald Henderson, Cha SG",WA (Wed),0.452,0.78,9,204,121,66,22,72,723
"Hedo Turkoglu, Orl SF  DTD",WA (Wed),0.425,0.79,107,270,294,48,24,120,752
"O.J. Mayo, Mem SG",GPC,0.429,0.803,80,162,132,60,18,96,762
"Greg Oden*, Por C  O",WA (Wed),0.581,0.673,0,213,20,11,45,45,274
"Tyler Hansbrough, Ind PF",WA (Wed),0.469,0.77,0,378,50,37,19,74,743
"Chuck Hayes, Sac PF, C",WA (Wed),0.51,0.625,0,395,125,55,35,55,346
"Amir Johnson, Tor PF",NGUY,0.535,0.745,0,358,56,39,67,39,445
"Chase Budinger, Hou SF",WA (Wed),0.431,0.831,97,279,118,43,19,62,777
"Jared Dudley, Pho SF, SG",WA (Wed),0.472,0.74,92,282,96,77,19,70,716
"Anthony Morrow, NJ SG, SF",SANC,0.459,0.886,113,176,72,28,11,61,792
"Jerryd Bayless, Tor PG, SG",WA (Wed),0.441,0.809,60,186,322,62,6,136,721
"Vince Carter, Dal SG, SF  DTD",WA (Wed),0.433,0.788,76,185,129,39,11,67,729
"Kendrick Perkins, OKC C",WA (Wed),0.572,0.58,0,402,55,17,77,105,423
"Jeff Green*, Bos SF, PF  O",WA (Wed),0,0,0,0,0,0,0,0,0
"DeJuan Blair, SA C, PF",WA (Wed),0.518,0.613,0,527,72,78,39,111,636
"J.J. Redick, Orl SG",WA (Wed),0.437,0.873,126,148,131,34,6,63,728
"Evan Turner, Phi SG",WA (Wed),0.436,0.817,14,299,195,65,13,85,594
"C.J. Miles, Uta SF, SG",WA (Wed),0.418,0.801,83,195,112,59,24,77,760
"Grant Hill, Pho SF  DTD",WA (Wed),0.489,0.821,26,252,132,42,24,84,674
"Marcus Camby, Por C, PF",WA (Wed),0.445,0.649,0,413,102,41,71,56,300
"Paul George, Ind SF, SG",WA (Wed),0.459,0.777,56,277,82,76,32,82,546
"James Johnson, Tor SF",WA (Wed),0.456,0.678,14,305,171,67,79,134,603
Jose Juan Barea,WA (Wed),0.44,0.828,59,154,282,32,0,115,677
"Arron Afflalo, Den SG",WA (Wed),0.485,0.83,82,195,118,30,24,59,639
"Rashard Lewis, Wsh PF, SF",WA (Wed),0.441,0.831,81,235,83,49,29,74,552
"Jodie Meeks, Phi SG",WA (Wed),0.446,0.883,125,176,72,72,7,52,635
"Ryan Anderson, Orl PF",WA (Wed),0.438,0.825,114,359,51,34,34,46,643
"Metta World Peace, LAL SF",WA (Wed),0.404,0.703,77,230,154,90,26,83,627
"Brandon Roy*, FA SG, SF  O",WA (Wed),0,0,0,0,0,0,0,0,0
"Tayshaun Prince, Det SF",WA (Wed),0.471,0.728,29,264,165,26,33,59,792
"Derrick Favors, Uta PF",WA (Wed),0.516,0.594,0,403,38,25,63,76,517
"J.R. Smith, FA SG, SF",WA (Wed),0.433,0.724,36,76,48,24,4,30,272
"Wilson Chandler, FA SF, SG",WA (Wed),0.453,0.793,31,135,45,18,28,38,365
"Wesley Johnson, Min SF, SG",WA (Wed),0.397,0.699,93,218,134,51,51,83,639
"Gilbert Arenas, FA PG, SG",WA (Wed),0.398,0.769,71,140,198,62,16,135,609
"Brendan Haywood, Dal C  DTD",WA (Wed),0.564,0.451,0,316,15,15,66,46,290
"Beno Udrih, Mil PG, SG",WA (Wed),0.494,0.856,53,176,246,69,6,101,758
"Tristan Thompson, Cle PF",WA (Wed),0.491,0.514,0,466,50,44,107,38,508
"Mike Bibby, NY PG",WA (Wed),0.428,0.73,108,158,227,44,6,76,564
"Taj Gibson, Chi PF",WA (Wed),0.484,0.68,1,416,53,40,99,66,412
"Bismack Biyombo, Cha PF",WA (Wed),0.481,0.484,0,360,18,65,94,124,310
"Troy Murphy, LAL PF, C",WA (Wed),0.455,0.773,48,308,62,31,13,44,390
"Udonis Haslem, Mia PF",WA (Wed),0.502,0.768,0,490,43,25,19,56,500
"Brandon Bass, Bos PF",WA (Wed),0.515,0.827,0,307,41,23,41,75,623
"Mehmet Okur, Uta C",WA (Wed),0.46,0.81,25,159,42,15,21,39,325
"Shane Battier, Mia SF  DTD",WA (Wed),0.434,0.722,61,210,108,36,48,42,350
"Darko Milicic, Min C",WA (Wed),0.475,0.553,0,268,71,38,94,99,431
"Derek Fisher, LAL PG",WA (Wed),0.392,0.831,56,122,166,70,6,51,451
"Jermaine O'Neal, Bos C",WA (Wed),0.5,0.735,0,239,50,13,50,67,385
"Gordon Hayward, Uta SG, SF",WA (Wed),0.485,0.709,71,180,104,41,23,87,684
"Enes Kanter, Uta C",WA (Wed),0.476,0.75,13,197,35,12,29,23,350
"Mario Chalmers, Mia PG",WA (Wed),0.403,0.792,69,124,153,71,6,77,396
"Andris Biedrins, GS C",WA (Wed),0.556,0.447,0,357,56,39,47,52,279
"Shannon Brown, Pho SG",WA (Wed),0.428,0.874,55,130,81,50,19,62,561
"Tracy McGrady, Atl SG, PG",WA (Wed),0.42,0.73,24,165,169,42,24,71,377
"Austin Daye, Det SF, PF",WA (Wed),0.462,0.765,59,264,72,36,48,54,525
"Glen Davis, Orl PF",WA (Wed),0.446,0.733,1,240,48,42,18,54,443
"Kyle Korver, Chi SG, SF",WA (Wed),0.438,0.881,90,92,92,24,12,49,507
"Iman Shumpert, NY PG",WA (Wed),0.386,0.791,33,135,140,65,10,60,290
"Al Harrington, Den PF",WA (Wed),0.427,0.757,90,254,71,35,12,83,687
"Leandro Barbosa, Tor SG",WA (Wed),0.459,0.85,68,95,117,48,5,74,731
"Rudy Fernandez, Den SG",WA (Wed),0.381,0.86,99,150,144,66,12,72,549
"Jan Vesely, Wsh SF",WA (Wed),0.466,0.497,38,238,29,41,35,87,581
"Jordan Hill, Hou PF, C",WA (Wed),0.491,0.699,0,244,26,16,36,47,327
"Richard Jefferson, SA SF",WA (Wed),0.463,0.769,83,241,98,33,26,78,745
"Kawhi Leonard, SA PF",WA (Wed),0.43,0.761,20,289,100,59,35,83,414
"Kenneth Faried, Den PF",WA (Wed),0.494,0.59,0,378,54,42,54,60,526
"Omri Casspi, Cle SF, SG  DTD",WA (Wed),0.425,0.671,86,317,79,55,18,79,678
"Klay Thompson, GS SG",WA (Wed),0.432,0.817,78,189,118,47,18,65,574
"Norris Cole, Mia PG",WA (Wed),0.422,0.828,43,136,205,62,6,99,413
"Ramon Sessions, Cle PG",WA (Wed),0.464,0.799,2,185,290,46,7,119,715
"Nate Robinson, OKC PG, SG",WA (Wed),0.426,0.8,58,85,100,35,0,65,346
"Marshon Brooks, NJ SG",WA (Wed),--,--,--,--,--,--,--,--,--
"Marvin Williams, Atl SF",WA (Wed),0.459,0.864,39,300,78,36,24,60,631
"Spencer Hawes, Phi C",WA (Wed),0.471,0.595,8,397,110,24,61,92,503
"Ekpe Udoh, GS C, PF",WA (Wed),0.435,0.655,0,240,54,30,114,66,311
"Markieff Morris, Pho PF",WA (Wed),0.465,0.7,17,282,54,30,24,42,461
"Mike Dunleavy, Mil SG, SF",WA (Wed),0.442,0.813,75,204,82,31,20,56,514
"Joel Anthony, Mia C",WA (Wed),0.511,0.661,0,207,18,12,77,30,135
"Mike Miller*, Mia SF, SG  O",WA (Wed),0.446,0.746,61,245,93,25,5,54,337
"Chris Andersen, Den C, PF",WA (Wed),0.576,0.669,0,280,20,25,85,35,287
"Daniel Gibson, Cle PG, SG",WA (Wed),0.407,0.8,95,127,132,33,17,55,555
"Delonte West, Dal SG, PG",WA (Wed),0.451,0.816,32,113,146,49,16,65,396
"Kirk Hinrich*, Atl SG, PG  O",WA (Wed),0.432,0.816,47,91,141,42,8,61,359
"Bonzi Wells, Min SF",WA (Wed),--,--,--,--,--,--,--,--,--
"Charlie Villanueva, Det PF, SF  DTD",WA (Wed),0.443,0.795,77,279,50,37,37,62,732
"Eric Bledsoe*, LAC PG  O",WA (Wed),0.423,0.737,18,130,167,54,16,113,312
"Omer Asik, Chi C",WA (Wed),0.558,0.528,0,376,53,26,66,59,352
"Brian Scalabrine, Chi PF",WA (Wed),--,--,--,--,--,--,--,--,--
"Raja Bell, Uta SG",WA (Wed),0.417,0.9,38,92,59,25,4,34,293
"Shaquille O'Neal, FA C",WA (Wed),--,--,--,--,--,--,--,--,--
"Matt Bonner, SA PF, C",WA (Wed),0.467,0.758,84,209,55,22,17,28,407
"Josh McRoberts, LAL PF",WA (Wed),0.538,0.71,20,330,124,41,47,77,459
"Yao Ming, FA C",WA (Wed),--,--,--,--,--,--,--,--,--
"Josh Howard, Uta SG, SF  DTD",WA (Wed),0.406,0.73,22,137,37,26,11,44,323
"Ronny Turiaf, Wsh C, PF",WA (Wed),0.589,0.632,0,178,81,27,59,38,226
"Patrick Patterson*, Hou PF  O",WA (Wed),0.558,0.712,0,347,73,28,62,56,564
"Drew Gooden, Mil PF",WA (Wed),0.465,0.83,2,345,50,30,30,70,528
"Luc Richard Mbah a Moute, Mil SF, PF",WA (Wed),0.465,0.71,1,391,63,63,32,69,548
"Ben Wallace, Det C",WA (Wed),0.476,0.38,0,244,42,34,38,29,39
"Chukwudiebere Maduabum, Den PF",WA (Wed),--,--,--,--,--,--,--,--,--
"Kwame Brown, GS C",WA (Wed),0.517,0.544,0,363,39,22,33,61,395
"Peja Stojakovic, FA SF",WA (Wed),0,0,0,0,0,0,0,0,0
"Luke Ridnour, Min PG",WA (Wed),0.462,0.885,50,126,246,54,6,96,551
"Rodrigue Beaubois, Dal PG, SG  DTD",WA (Wed),0.461,0.783,38,74,83,28,9,60,354
"Matt Barnes, LAL SF",WA (Wed),0.461,0.753,52,296,103,46,23,80,483
"James Jones, Mia SF",WA (Wed),--,--,--,--,--,--,--,--,--
"C.J. Watson, Chi PG",WA (Wed),0.416,0.781,33,96,141,58,6,58,390
"Al-Farouq Aminu, Nor SF",WA (Wed),0.394,0.773,55,332,78,72,33,130,571
"Marcus Morris, Hou PF",WA (Wed),0.467,0.683,17,264,48,24,18,42,422
"Corey Brewer, Den SF, SG",WA (Wed),0.412,0.686,33,156,88,78,16,83,526
"Aaron Brooks, FA PG",WA (Wed),0.404,0.85,36,42,94,16,3,44,297
"Allen Iverson, FA SG, PG",WA (Wed),--,--,--,--,--,--,--,--,--
"Josh Childress, Pho SF, SG",WA (Wed),0.564,0.489,1,125,34,26,17,34,218
"Chris Singleton, Wsh SF",WA (Wed),--,--,--,--,--,--,--,--,--
"Steve Blake, LAL PG",WA (Wed),0.395,0.813,77,132,202,38,6,76,367
"Nick Collison, OKC PF, C",WA (Wed),0.569,0.733,0,290,46,35,29,46,319
"Tanguy Ngombo, Por PF",WA (Wed),--,--,--,--,--,--,--,--,--
"Terrence Williams, Hou SF, SG",WA (Wed),0.394,0.705,18,186,123,25,5,78,359
"Jimmy Butler, Chi SG",WA (Wed),0.462,0.771,18,130,47,41,12,30,262
"Isaiah Thomas, Sac PG",WA (Wed),--,--,--,--,--,--,--,--,--
"Hasheem Thabeet, Hou C",WA (Wed),0.536,0.558,0,108,4,9,34,22,84
"Ronnie Brewer, Chi SG",WA (Wed),0.49,0.673,6,183,101,82,13,38,362
"Robin Lopez, Pho C",WA (Wed),0.524,0.725,0,170,5,10,35,35,320
"Randy Foye, LAC SG, PG",WA (Wed),0.398,0.88,54,90,143,32,16,74,507
"Jason Thompson, Sac PF",WA (Wed),0.496,0.656,0,421,79,24,43,92,620
"JaJuan Johnson, Bos PF",WA (Wed),--,--,--,--,--,--,--,--,--
"Kyle Singler, Det SF",WA (Wed),--,--,--,--,--,--,--,--,--
"Nolan Smith, Por SG",WA (Wed),--,--,--,--,--,--,--,--,--
"Devin Brown, FA SG",WA (Wed),--,--,--,--,--,--,--,--,--
"Anthony Randolph, Min PF",WA (Wed),0.459,0.72,1,270,53,37,53,74,474
"Jordan Farmar, NJ PG",WA (Wed),0.4,0.753,87,136,229,50,6,99,560
"Timofey Mozgov, Den C",WA (Wed),0.475,0.714,0,294,36,36,60,84,398
"Scottie Reynolds, Uta PG",WA (Wed),--,--,--,--,--,--,--,--,--
"Eddie House*, Mia PG, SG  O",WA (Wed),--,--,--,--,--,--,--,--,--
"Kenyon Martin, FA PF",WA (Wed),0.486,0.583,2,118,36,19,15,23,167
"E'Twaun Moore, Bos SG",WA (Wed),--,--,--,--,--,--,--,--,--
"Courtney Lee, Hou SG",WA (Wed),0.44,0.822,59,176,82,57,13,57,586
"Tiago Splitter, SA PF",WA (Wed),0.53,0.546,0,317,42,47,26,52,439
"Thabo Sefolosha, OKC SG, SF",WA (Wed),0.454,0.746,24,265,95,76,32,50,329
"Goran Dragic, Hou PG  DTD",WA (Wed),0.437,0.669,50,129,179,39,6,101,457
"Jonny Flynn, Hou PG  DTD",WA (Wed),0.398,0.805,31,77,163,36,0,102,377
"Sam Young, Mem SF, SG",WA (Wed),0.464,0.761,13,154,51,45,19,58,470
"Samardo Samuels, Cle PF",WA (Wed),0.454,0.615,0,252,23,18,23,63,349
"Anthony Parker, Cle SG, SF",WA (Wed),0.412,0.782,70,174,156,54,12,60,477
"Michael Redd, FA SG",WA (Wed),--,--,--,--,--,--,--,--,--
"Eric Maynor, OKC PG",WA (Wed),0.409,0.714,27,105,211,31,6,68,311
"Ersan Ilyasova, Mil SF, PF",WA (Wed),0.44,0.815,39,316,51,41,20,51,482
"Alec Burks, Uta SG",WA (Wed),0.469,0.78,22,67,22,28,6,28,271
"Shelvin Mack, Wsh PG",WA (Wed),--,--,--,--,--,--,--,--,--
"Nazr Mohammed, OKC C",WA (Wed),0.522,0.638,0,216,9,14,19,47,290
"Will Bynum, Det PG",WA (Wed),0.45,0.815,10,69,152,39,5,69,398
"Damion James, NJ SF, PF",WA (Wed),0.448,0.643,0,306,72,59,46,78,389
"Jonas Valanciunas, Tor C",WA (Wed),0,0,0,0,0,0,0,0,0
"Rafer Alston, FA PG",WA (Wed),--,--,--,--,--,--,--,--,--
"Antonio McDyess, SA PF, C",WA (Wed),0,0,0,0,0,0,0,0,0
"T.J. Ford, SA PG",WA (Wed),--,--,--,--,--,--,--,--,--
"Devin Ebanks, LAL SF  DTD",WA (Wed),--,--,--,--,--,--,--,--,--
"Jon Leuer, Mil PF",WA (Wed),--,--,--,--,--,--,--,--,--
"Malik Allen, FA PF",WA (Wed),--,--,--,--,--,--,--,--,--
"Eddy Curry, Mia C  DTD",WA (Wed),--,--,--,--,--,--,--,--,--
"Reggie Evans, FA PF",WA (Wed),0.434,0.542,0,367,38,33,9,52,182
"Travis Outlaw*, Sac SF, PF  O",WA (Wed),0.394,0.764,34,127,33,17,17,33,323
"Sebastian Telfair, Pho PG",WA (Wed),0.393,0.777,34,81,189,43,5,103,428
"Jason Maxiell, Det PF, C",WA (Wed),0.513,0.536,0,226,23,23,29,46,255
"Kelenna Azubuike, FA SF",WA (Wed),0.476,0.786,50,249,75,35,35,64,622
"Marco Belinelli, Nor SG",WA (Wed),0.433,0.802,83,103,74,34,6,57,546
"Jeremy Lin, Hou PG",WA (Wed),--,--,--,--,--,--,--,--,--
"Christian Eyenga, Cle SG, SF",WA (Wed),0.425,0.643,36,180,48,48,42,72,451
"DeShawn Stevenson, FA SG, SF",WA (Wed),0.362,0.722,54,78,62,16,5,31,242
